Competence,Skilled,,Unskilled
Ethics,"Maintains generally accepted social norms, moral principles and ethical norms during all work related activities. Exemplifies his company's norms and values by integrating these in his own behaviour. Is open to criticism about his own faults and mistakes",,Individualist with low concern for values of others. Sets his own rules and may be seen as too self-serving. Does not integrate the company's norms and values in his/her behaviour
Directing,"Offers guidance and steering to colleagues with a leadership style that is apporpriate to the situation. Draws form a broad range of leadership styles based on the situation, and is flexible enough to consider the colleague in question when choosing form among these styles.  Corrects where necessary in order to achieve goals and enqures that commitments are kept",,"Doesn't set goals, targets and objectives for the team, just gives out tasks and does not communicate the bigger picture. Micromanages and looks over shoulders. Doesn't offer guidance but takes over when mistakes are made."
Coaching,"Supports and develops activities to promote the personal development of team members and ecourages them rise to a higher level of achievement. Helps colleagues to recognize their own potential, and helps them to see their chances for further develoment. Gives colleagues time and space to make mistakes and learn from them",,"Doesn't  evaluate the strengths and weaknesses of others well. Has simplistic models of people, and doesn't think people have room for growth. Does not give feedback but solves the problem him/herself. Is impatient when  people do things differently or when they make mistakes"
Teambuilding,"Creates a strong group feeling, a cohesive vision and feeling of 'togetherness' within a team, while it is working towards meeting goals. Involves all team members and stimulates them to actively participate and contribute towards reaching team goals. Knows how  to motivate the team toward reaching group results. ",,"Doesn't succeed in creating a supportive bond between group members. Has problems with people not like him/her. Is judgemental about others, prefers to treat everyone the same, prefers working alone. "
Progress control,"Establishes and watch procedures to track and assess project tasks and responsibilities, and ensures that work goals are met by himself and the team. Makes clear agreements about follow-up tasks with team members. Develops reporting systems to follow each stage. Anticipates problem areas and obstructions. ",,"Doesn't view things in terms of systems. Lacks atention to detail and does not anticipate the problems that arise. Is not a systematic thinker, can't visualize effective processes. Is not good at figuring out effective and efficient ways to get things done"
Self-development,"Continuously develops the skills, knowledge and competences required to ensure that he is able to adjust to the requirements called for in a fluid environment. Is aware of his/her strong and weak points. Spontaneously requests feedback about his own functioning and is open to suggestions for improvement. attempts to create opportunities to further develop skills, knowledge and competences within his work domain",,Is defensive when others give feedback. Has a fear of failure or of admitting certain shortcomings. Doesn't put in the effort to grow and change. Doesn't do anything to act on constructive feedback. May not know what to work on and how
Quality awareness,"Maintains high standards for his work and uses opportunities for improvement to the maximum potential. Evaluates spontaneously the quality of his own work and seeks out methods to improve efficiency. Takes immediate corrective action when his/her work,quality is not up to standards. Makes suggestions on how  to improve the quality of products and services.",,"Doesn't have attention for quality standards, time manages poorly and doesn't get around to manage in an orderly way. Doesn't provide work-in-progress feedback. Doesn't use goals and objectives to manage self or others"
Change Orientation,Sees the necessity of change and evolution at the organizational level and successfully implements these changes. Actively participates in adjustment processess when asked. Openly discusses resistance and actively seeks to understand the reasons behind oppostion,,Is not very flexible. Doesn't like uncertainty. Abdicate or freezes when situations change quickly. Has trouble shifting modes of behavior in the same meeting or situation. Prefers things tacked down and sure. Is less efficient and productive under ambiguity
Client oriented,"Investigates the needs and desires of the (internal or external) customer and acts on them accordingly. Asks the customer for feedback on the services delivered and the results. Is able to apply his/her knowledge to the client's specific situation, anticipates pitfalls, bottlenecks and foresees the best possible solution to the situation",,Has poor listening skills and is defensive in the face of criticism. Doesn't think of the customer first. Thinks he/she already knows what they need. Focusses on internal operations and gets blindsided by customer problems
Organizational insight,Understands the formal and informal organizational structure and working relationships. Has a clear insight into the best possible work methods within the organization. Understands who the informal key figures are within an organization that can help reach goals efficiently,,"Has poor insight in the organizational structure. Doesn't understand the organizational climate and it's impact. Doesn't actively seeks to business information about relationships, common bonds, strategy and vision of a company  "
Market oriented,"Actively seeks out information about the market and economic situation, understands the implications of this information on the activities to be undertaken. Detects demands and opportunities in the market. Detects trends/developments/changes in the demands of clients ",,Isn't interested in information to get a better understanding of the market. Doesn't detect demands and opportunities in the market. Is unaware of how strategies and tactics work in het marketplace
Profitability/Cost awareness,"Evaluates and systematically guarantees the return on his activities. Formulates proposals and acts to maximize in areas within his responsibility, in both a reactive as well as pro-active manner. ",,Doesn't have insight to the influential factors and their implications on earnings/costs. Lacks business insight so register all relevant costs. Isn't interested to make endeavours to optimise the profitability whitin his/her work 
Analysis,"Is able to analyse large amouts of information and structure these, while sticking to the facts. Collects information by posing questions or researching written information. Studies the subject in depth. Researches sources, checks information that has been collected",,Is impatient and has a narrow perspective. Isn't able to make distinction between facutal information and opinions/suppositions. Doesn't take the time to collect information and make a distinction between major and minor affairs
Synthesis,Is able to collate a large amout of separate facts into a logical unified picture. Finds the main points and common denominator in all categories. Detects logical and/or causal relationships that go the the heart of the affair,,"Isn't able to integrate the information in a logical way. Sums up the information, but doesn't integrate. Can't find commonalityies between several categories. Doesn't detect logical and/or causal relationships that go to the heart of the affair"
Vision,"Has a well-founed and clear idea of long-term reality for the organiszation. Has good insight into trends at the organizational level and sees the consequences of these on his work domain in the long term. Has a helicopter view of the situation, giving a good idea of potential opportunities and pitfalls in the long term. ",,Is more comfortable in the here and now. Doesn't actively follows developments in the environment. Isn't interested in new trends within his/her profession and can't see the consequences of these trends on his/her work efforts in the long run
Strategic thinking,"Formulates a long-term plan based on a personal vision that is workable toward the future. Exhibits clear insight into the strengths, weaknesses, opportunities and threats of the organization. Shows flexibility to change operational methods to better suit environmental phenomena. ",,"Is narrowly tactical, shows weak understanding of the strengths, weaknesses, opportunities and threats of the organization. Only micromanages, doesn't see the bigger picture. Doesn't see the long-term development in the market/organization "
